iso_code,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,InfectRate
AFG,54.422,18.6,2.5810000000000004,1.337,1803.987,597.029,9.59,0.1,7.7,37.746,0.5,0.025683087804846346
AGO,23.89,16.8,2.405,1.3619999999999999,5819.495,276.045,3.94,0.1,7.7,26.664,0.1,0.0001825579953282192
ALB,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,304.195,10.08,7.1,51.2,50.07239772727275,2.89,0.03436652998818542
ARE,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,317.84,17.26,1.2,37.4,50.07239772727275,1.2,0.2902208201892745
ARG,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,50.07239772727275,5.0,0.025090839792399188
ARM,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,341.01,7.11,1.5,52.1,94.04299999999999,4.2,0.21267304573314155
ATG,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,0.1,7.7,50.07239772727275,3.8,0.02552896005228331
AUS,3.202,37.9,15.504000000000001,10.129,44648.71,107.791,5.07,13.0,16.5,50.07239772727275,3.84,0.027866796711717986
AUT,106.749,44.4,19.202,13.748,45436.685999999994,145.183,6.35,28.4,30.9,50.07239772727275,7.37,0.18217045656422098
AZE,119.309,32.4,6.018,3.8710000000000004,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,0.03927341228453005
BDI,423.06199999999995,17.5,2.562,1.504,702.225,293.068,6.05,0.1,7.7,6.144,0.8,0.00035321481406477845
BEL,375.564,41.8,18.570999999999998,12.849,42658.575999999994,114.898,4.29,25.1,31.4,50.07239772727275,5.64,0.4901801750808655
BEN,99.11,18.8,3.2439999999999998,1.942,2064.236,235.84799999999998,0.99,0.6,12.3,11.035,0.5,0.002796291869521557
BFA,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,269.048,2.42,1.6,23.9,11.877,0.4,0.0038941260791728457
BGD,1265.036,27.5,5.098,3.262,3523.9840000000004,298.003,8.38,1.0,44.7,34.808,0.8,0.01947787976107725
BGR,65.18,44.7,20.801,13.272,18563.307,424.68800000000005,5.81,30.1,44.4,50.07239772727275,7.454,0.03465523581175357
BHR,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,151.689,16.52,5.8,37.6,50.07239772727275,2.0,0.5172830241016747
BHS,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,50.07239772727275,2.9,0.025429245666856535
BIH,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,329.635,10.08,30.2,47.7,97.164,3.5,0.072878233000032
BLR,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,443.129,5.18,10.5,46.1,50.07239772727275,11.0,0.3729791801971803
BLZ,16.426,25.0,3.853,2.279,7824.361999999999,176.957,17.11,0.1,7.7,90.083,1.3,0.004526923879774962
BMU,1308.82,30.393063583815014,8.709722543352594,5.517348837209303,50669.315,139.547,13.0,0.1,7.7,50.07239772727275,0.1,0.2135757069677067
BOL,10.202,25.4,6.704,4.393,6885.829000000001,204.299,6.89,0.1,7.7,25.383000000000003,1.1,0.05067236618704537
BRA,25.04,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,17.9,50.07239772727275,2.2,0.16343571975211882
BRB,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,170.05,13.57,1.9,14.5,88.469,5.8,0.032014364706250804
BRN,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,201.285,12.79,2.0,30.9,50.07239772727275,2.7,0.0322298237874386
BTN,21.188000000000002,28.6,4.885,2.977,8708.597,217.06599999999997,9.75,0.1,7.7,79.807,1.7,0.003110371533879722
BWA,4.044,25.8,3.9410000000000003,2.242,15807.374,237.372,4.81,5.7,34.4,50.07239772727275,1.8,0.0012757136022962844
CAF,7.479,18.3,3.655,2.251,661.24,435.727,6.1,0.1,7.7,16.602999999999998,1.0,0.011429129870527835
CAN,4.037,41.4,16.984,10.797,44017.59099999999,105.59899999999999,7.37,12.0,16.6,50.07239772727275,2.5,0.22152946902319332
